84-1011 	 tagállami@hatáskör
290-1011 	 Közegészség-védelem
1299-1011, 2011 	 számtanilag@képzett@exportár
1326-1011 	 az@utazási@irodákra@vonatkozó@különös@szabályozás
25608-6411, 6416 	 sokszorosító@készülékek@és@gépek
27871-6021 	 malátalé
28640-1236, 4406, 4416 	 zaklatás
28648-4021, 4406 	 emberierőforrás-menedzsment
28691-16, 40, 68 	 magánszektor
28693-4406, 4416 	 szakmai@fejlődés
28960-2826, 7611 	 Európai@Vakok@Szövetsége
29040-2036 	 kiskereskedelmi@ágazat
29069-24 	 nemzeti@előlap
29184-3206 	 (@a@készségigények@)@előrejelzése
29197-3206 	 képességek@értékelése
29212-3206 	 alapvető@informatikai@és@kommunikációs@technológiai@szakértelem
29248-2826, 4406 	 alkalmi@munka
29257-3206 	 oklevél
29290-4826 	 repülőtéri@díjak
29309-4826 	 légialkalmasság
29331-4826 	 kisegítő@fedélzeti@energiaellátó@egység
29357-4826 	 kereskedelmi@légi@fuvarozás
29390-4826 	 elhatározási@szint
29391-4826 	 elhatározási@magasság
29398-4826 	 közvetlen@tranzitterület
29425-4826 	 légi@jármű@repülési@kézikönyve
29442-4826 	 törzs
29465-4826 	 magassági@színárnyékolás
29469-4826 	 műszer@szerint@végrehajtott@repülés
29533-4826 	 legalacsonyabb@süllyedési@magasság
29534-4826 	 legalacsonyabb@süllyedési@magasság
29559-4826 	 akadálymentes@magasság
29580-4826 	 segédmotoros@vitorlázógép
29585-4826 	 repülés@előtti@ellenőrzés
29591-4826 	 tiltott@terület
29621-4826 	 védelmi@felszerelés
29650-4826 	 szubszonikus@sebesség
29749-4826 	 fix@állásszögű@légcsavar
29867-4826 	 a@rendelkezésre@álló@gyorsulás-megállási@távolság
29884-4826 	 repülőgép
29904-3226, 4826 	 repülésbiztonság
29907-4826 	 kényszerleszállás
29909-4826 	 légialkalmassági@alapkövetelmény
29913-4826 	 tartalék
29923-4826 	 zajbizonyítvány
29973-4826 	 meteorológiai@szolgálat
29985-4826 	 maximális@felszállótömeg
30024-4826 	 minimális@szektormagasság
30029-4826 	 nem@precíziós@megközelítési@eljárás
30033-4826 	 rendeltetési@kitérő@repülőtér
30053-4826 	 vésztartalék@üzemanyag
30059-4826 	 műszaki@napló
30065-4826 	 válaszfal@része
30106-3606, 48, 4826 	 távolságmérő@berendezés
30133-4826 	 automatikus@repülésvezérlő@rendszer
30191-4826 	 nyomásmagasság
30398-4826 	 műszerfal
30412-4826, 6411 	 összeütközési@veszélyt@jelző@fedélzeti@rendszer
30545-4826 	 Üzembehelyezési@bizonyítvány
30552-4826 	 repülési@ciklus
30576-4826 	 kereskedelmi@pilóta@szakszolgálati@engedély
30584-4826 	 személyzeti@erőforrás-gazdálkodás
30599-4826 	 tehermentesítő@másodpilóta
30639-4826 	 kabin
30712-4826 	 repülési@határgörbe
30824-4826 	 számított@fékoldási@idő
30828-4826 	 benyújtott@repülési@terv
30911-4826 	 géptengelyirány
30943-3606, 4826 	 bólintási@szögsebesség
30958-4826 	 legyezési@szögsebesség
31000-4826 	 repülési@szakasz
31181-4826 	 kényszerhelyzet
31241-4826 	 megközelítésmegszakítási@pont
31380-4826 	 nagy@légi@jármű
31416-4826 	 átkapcsolási@pont
31601-4826 	 megszakított@megközelítési@eljárás
31618-4826 	 hajtóműegység
31699-4826 	 légialkalmassági@követelmények
31702-4826 	 területi@navigáció
31765-4826 	 légcsavaros@repülőgép
31836-4826 	 bemutató@repülés
32252-4826 	 tanúsító@személy
32742-4826 	 futómű@rugóstag
32881-4826 	 olajszűrő
32983-4826 	 áramvonalas@burkolat
33567-4826 	 légi@gurulás
33586-4826 	 mérvadó@pont
33624-4826 	 repülési@órák
34137-4826 	 DR-távolság
34195-4826 	 kapcsolódó@légijármű-rendszerek
34201-4826 	 önerős@repülést@biztosító@motoros@vitorlázó@repülőgép
34227-4826, 52, 6411 	 zaj@-@teljesítmény@-@távolság@adatok
34265-4826 	 ismétlődő@repülési@terv
34423-4826 	 turbóventillátoros@hajtómű
34903-2841, 52 	 ökotoxicitás
35016-12, 28, 3226 	 vélemény
35093-2841 	 hatóanyag
35133-2841 	 helyi@alkalmazás
35303-5631 	 külsőleges@alkalmazás
35598-52 	 ipar
36020-2841 	 vizsgálatból@kieső
36453-2841 	 világjárvány
36615-2841 	 kockázat-haszon@elemzés
43680-52 	 kutatás
43785-2841 	 egyedi@gyógyszerbiztonsági@jelentés
44001-2841, 3606 	 termelő@törzs
44183-2841 	 forgalombahozatali@engedély@átruházása@új@jogosultra
44283-10, 1006 	 decentralizált@ügynökség
44674-52 	 füstgázpor
44798-52 	 kompozit@csomagolás
44957-3606 	 élettelen@tényező
45021-3606, 52, 6411 	 aerodinamikai@zaj
45095-52 	 riasztó
45100-4811 	 kitűzés
45116-52 	 hordalék
45125-52 	 amalgám
45150-5631 	 állatbetegség
45158-2841, 5631 	 állat-egészségügyi
45217-2831, 2846, 6831 	 építészet
45352-52 	 biodegradáció
45376-52 	 biológiai@termelés
45414-52 	 derítőszer
45419-5211 	 tőzegmohaláp
45458-52, 6831 	 építőanyag
45470-52, 6831 	 épített@környezet
45485-52 	 gombelem
45523-3606, 5216 	 katalitikus@átalakító
45543-52 	 népszámlálás
45665-52 	 kapcsolt@égetés
45677-52 	 szénalapú@energia
45837-52, 66, 6621 	 az@aktív@zóna@megolvadása
45895-3206 	 tanterv
46049-52 	 katasztrófevédelmi@felkészültség
46061-52 	 diszperzió
46123-52 	 szárazság@elleni@védekezés
46316-5206 	 tokozás
