1567441-4826 	 munkaterület
1567442-4826 	 mozgási@terület
1567443-4826 	 jelterület
1567444-4826 	 átadó@egység
1567445-4826 	 átadó@irányító
1567448-4826 	 földtérési@zóna
1567449-4826 	 repülőtéri@irányítótorony
1567544-3606, 5211 	 leszálló@szél
1567557-4806, 4826 	 műszeres@időjárási@körülmények
1567648-4826 	 kezdeti@megközelítési@szakasz
1567654-4826 	 számított@repülési@idő
1567656-4826 	 teljes@számított@repülési@idő
1567734-4826 	 oldalirányú@elkülönítés
1567741-4826 	 egyedülrepülési@idő
1567770-4826 	 repülés@állapota
1567816-1631 	 binomiális@eloszlás
1567822-1631 	 konfidencia-intervallum
1567824-1631, 3606 	 korrelációs@együttható
1567830-1631, 4026 	 árindex
1567832-1631 	 kvartilis
1567844-1631 	 súlyozó@tényező
1567845-1631, 36 	 súlyozott@átlag
1567863-1631, 44 	 munkavállaló
1567882-04, 1631 	 elvándorló
1567883-04, 1631 	 elvándorlás
1567888-16, 56 	 termelői@ár
1567906-1631, 3611 	 hivatalos@statisztika
1567919-4406, 4411 	 tanulószerződéses@tanuló
1567929-1631, 2816, 2846 	 kollektív@háztartás
1567933-1626, 1631, 4421 	 munkavállalói@jövedelem
1567941-4426 	 munkáltatói@érdekképviseleti@szervezet
1567960-44 	 munkanélküli
1567964-4411 	 munkaerőpiac
1567989-2821, 3611 	 felfelé@irányuló@társadalmi@mobilitás
1567992-1631 	 megrendelési@nyilvántartás
1568001-2011, 2446 	 kiviteli@vám
1568018-1231, 2816 	 külföldi
1568025-10, 1006, 12, 3611 	 állandó@bizottság
1568026-20, 2011 	 kiviteli@árunyilatkozat
1568084-0436, 1631 	 helyi@önkormányzat
1568086-2836, 44 	 társadalombiztosítási@járulék
1568101-4411 	 szabad@foglalkozás
1568109-4406 	 szakmai@szövetség
1568184-4026 	 tétel
1568186-3206, 4406 	 iskolázottság
1568205-16, 2031, 24, 44, 56 	 bruttó@jövedelem
1568209-16, 1631 	 bruttó@kibocsátás
1568272-1631, 2016 	 import
1568277-20 	 importőr
1568293-1631, 2446 	 jövedelemsáv
1568316-2026 	 végső@fogyasztó
1568322-0811, 1606 	 fejlesztési@segély
1568349-1631, 5606, 5621 	 betakarított@terület
1568397-12, 24, 48, 4816 	 Pénzügyminisztérium
1568405-2021 	 költségmentesen@a@hajófedélzetre
1568445-1631 	 élveszületési@arányszám
1568475-16, 2031 	 teljes@forgalom
